Price[1000Eur],City,Brand,Body,1000Km,Power[HP],Year,Gas,Transmission,Seller,Owners,Warranty
24.89,1,0,3,28.4,110,8,0,1,0,0,2
23.889,1,0,3,27.1,110,8,0,1,0,0,2
22.78,1,0,3,65.4,116,7,0,1,0,0,2
21.78,1,0,3,40.7,116,6,0,1,0,1,2
21.78,1,0,3,40.7,116,6,0,1,0,1,2
24.88,1,0,3,24.88,150,7,0,0,0,0,1
24.85,1,0,3,66.8,150,7,0,0,0,0,1
24.82,1,0,3,28.2,150,7,0,0,0,0,0
23.7,1,0,3,119.5,190,3,1,1,0,1,2
23.77,1,0,3,39.872,150,6,0,0,0,0,0
23.45,1,0,3,85.0,150,6,0,0,0,0,2
21.0,1,0,3,192.0,313,0,1,0,1,1,2
28.42,1,0,3,21.85,150,8,0,1,0,0,0
29.88,1,0,3,58.358000000000004,150,7,1,0,0,0,0
25.33,1,0,3,64.801,220,5,0,0,0,0,2
26.999000000000002,1,0,3,69.303,150,6,0,0,0,0,0
29.95,1,0,3,26.35,179,5,0,0,0,0,1
29.9,1,0,3,65.717,245,0,1,0,1,2,2
25.99,1,0,3,31.5,150,8,0,0,1,1,2
25.8,1,0,3,83.8,190,2,1,0,0,1,2
29.9,1,0,3,11.0,150,8,0,0,1,0,2
27.947,1,0,3,3.596,150,9,0,1,0,0,2
25.98,1,0,3,82.941,258,3,1,0,0,1,0
27.69,1,0,3,34.49,150,7,0,1,0,0,0
26.9,1,0,3,149.0,340,0,1,0,0,1,2
27.5,1,0,3,20.5,150,8,0,1,1,1,2
29.9,1,0,3,10.0,150,9,0,0,1,0,2
26.9,1,0,3,18.9,150,7,0,0,1,1,2
29.98,1,0,3,40.0,258,2,1,0,0,0,2
27.5,1,0,3,23.9,150,7,0,0,1,0,2
29.2,1,0,3,13.0,150,8,0,0,1,1,2
29.7,1,0,3,234.5,272,3,1,0,0,2,2
29.99,1,0,3,129.817,286,5,1,0,0,0,0
26.999000000000002,1,0,3,39.5,150,7,1,0,1,0,2
28.5,1,0,3,133.0,313,1,1,0,1,1,2
29.999000000000002,1,0,3,46.7,190,6,0,0,0,0,0
25.648000000000003,1,0,3,59.45,150,7,0,1,0,0,2
26.7,1,0,3,46.0,179,3,0,0,1,0,2
29.8,1,0,3,20.5,150,8,0,0,1,1,2
26.54,1,0,3,7.05,150,7,0,1,0,0,2
26.999000000000002,1,0,3,114.0,150,7,1,0,0,0,2
26.789,1,0,3,94.325,150,6,0,0,0,1,1
27.947,1,0,3,71.68,150,5,0,0,0,1,2
29.9,1,0,3,178.9,286,6,1,0,0,0,2
26.45,1,0,3,58.07,150,6,0,0,0,1,1
26.999000000000002,1,0,3,10.999,116,8,0,1,1,1,2
28.76,1,0,3,12.5,150,9,0,0,0,0,2
28.999000000000002,1,0,3,109.0,190,3,1,0,1,0,2
29.9,1,0,3,75.55,150,7,1,0,0,0,1
29.49,1,0,3,13.0,150,6,0,0,0,0,0
26.9,1,0,3,91.5,190,3,1,0,0,0,2
29.447,1,0,3,72.149,163,5,1,0,0,1,2
26.59,1,0,3,126.12299999999999,313,0,1,0,0,1,2
26.95,1,0,3,121.0,313,0,1,0,1,0,2
25.799,1,0,3,70.6,150,6,0,0,0,0,0
29.99,1,0,3,27.65,150,7,0,0,1,1,2
26.248,1,0,3,56.336000000000006,150,6,0,0,0,0,2
26.688000000000002,1,0,3,33.406,150,6,0,1,0,0,2
27.85,1,0,3,160.0,313,2,1,0,1,0,2
29.846999999999998,1,0,3,39.488,150,6,0,0,0,0,2
25.199,1,0,3,35.0,150,5,0,0,0,1,0
26.55,1,0,3,25.74,150,6,1,0,0,0,0
25.59,1,0,3,14.9,110,8,0,1,1,0,2
29.648000000000003,1,0,3,57.858000000000004,150,6,0,0,0,0,2
25.99,1,0,3,88.7,179,5,0,0,0,0,1
26.82,1,0,3,27.89,150,7,1,0,0,1,0
27.95,1,0,3,19.547,150,7,0,0,0,1,0
26.55,1,0,3,97.46700000000001,150,6,0,0,0,1,0
29.99,1,0,3,20.1,190,7,0,0,0,0,1
29.35,1,0,3,16.78,150,5,1,0,1,1,2
28.463,1,0,3,22.395,150,6,0,1,0,0,2
26.169,1,0,3,29.017,116,5,1,1,0,1,2
29.999000000000002,1,0,3,102.096,150,7,1,0,0,0,0
29.88,1,0,3,9.387,150,7,0,0,0,0,1
28.999000000000002,1,0,3,84.363,190,3,1,0,1,1,2
29.853,1,0,3,21.45,150,9,0,1,0,0,1
25.249000000000002,1,0,3,53.449,116,6,1,0,0,0,2
28.9,1,0,3,36.1,190,5,0,0,0,0,1
28.889,1,0,3,34.532,150,5,1,0,0,1,2
27.93,1,0,3,96.5,150,6,1,1,0,0,2
29.96,1,0,3,6.8,116,9,1,1,0,0,2
29.9,1,0,3,20.9,150,8,0,0,0,0,2
26.79,1,0,3,45.1,150,7,0,0,0,3,2
28.099,1,0,3,19.999000000000002,150,7,0,0,1,1,2
25.98,1,0,3,71.413,190,6,0,0,0,0,2
26.885,1,0,3,7.486000000000001,116,8,1,1,0,0,2
28.85,1,0,3,23.73,150,6,0,0,0,0,2
27.99,1,0,3,9.0,110,10,0,1,0,0,2
29.288,1,0,3,0.01,110,10,0,1,0,0,2
26.79,1,0,3,46.3,150,7,0,0,0,3,2
29.425,1,0,3,37.109,190,6,0,0,0,1,0
29.8,1,0,3,79.0,190,4,0,0,1,1,2
29.0,1,0,3,58.7,150,5,0,0,1,1,2
27.249000000000002,1,0,3,51.953,116,6,1,0,0,1,2
25.288,1,0,3,24.337,116,7,0,1,0,0,2
26.79,1,0,3,42.4,150,7,0,0,0,3,2
25.288,1,0,3,69.64699999999999,190,5,1,0,0,0,2
27.38,1,0,3,59.994,150,7,1,0,0,0,2
27.88,1,0,3,67.79,150,7,0,0,0,0,1
26.45,1,0,3,31.12,190,6,0,0,0,1,2
26.9,1,0,3,124.77,150,5,1,1,0,0,0
28.99,1,0,3,42.8,150,5,1,1,0,0,0
27.98,1,0,3,11.548,110,9,0,1,0,0,2
29.88,1,0,3,81.847,190,6,0,0,0,0,1
29.499000000000002,1,0,3,72.152,150,6,1,0,0,0,0
26.79,1,0,3,46.1,150,7,0,0,0,3,2
26.588,1,0,3,0.01,116,10,1,1,0,0,2
28.88,1,0,3,8.89,110,9,0,1,0,0,1
29.485,1,0,3,1.94,116,9,1,1,0,0,2
28.369,1,0,3,81.34,184,5,1,0,0,1,1
26.54,1,0,3,41.93,150,7,0,1,0,1,2
26.471999999999998,1,0,3,71.263,116,6,1,0,0,1,2
26.444000000000003,1,0,3,31.93,116,6,1,0,0,1,2
29.853,1,0,3,30.499000000000002,116,8,1,1,0,0,2
27.42,1,0,3,39.9,150,5,1,1,0,1,2
27.99,1,0,3,49.99,150,6,0,0,0,0,0
25.89,1,0,3,34.6,150,7,0,0,0,0,2
27.95,1,0,3,41.8,150,7,0,0,0,0,2
26.36,1,0,3,40.7,150,7,0,1,0,0,2
27.35,1,0,3,38.4,150,7,0,0,0,0,2
29.39,1,0,3,49.0,150,6,0,0,0,1,2
26.49,1,0,3,32.2,116,6,1,0,0,1,2
28.89,1,0,3,62.7,184,5,1,0,0,1,2
28.79,1,0,3,63.0,150,6,0,0,1,0,2
30.0,1,0,3,18.3,150,7,1,0,1,1,2
26.8,1,0,3,100.0,150,7,0,0,0,0,2
28.88,1,0,3,47.707,190,5,0,0,0,0,1
29.829,1,0,3,155.0,258,5,1,0,0,1,2
35.99,1,0,3,70.0,230,6,0,0,0,0,2
34.98,1,0,3,89.47,190,7,1,1,0,0,2
34.68,1,0,3,46.7,190,7,0,0,0,3,2
34.68,1,0,3,46.9,190,7,0,0,0,3,2
37.799,1,0,3,26.046,190,6,1,0,0,0,2
30.447,1,0,3,48.696999999999996,150,7,1,0,0,0,0
37.389,1,0,3,64.59899999999999,300,6,0,0,0,0,0
36.2,1,0,3,141.9,218,4,1,0,0,2,0
38.64,1,0,3,96.5,367,6,2,0,0,0,2
38.999,1,0,3,119.1,200,8,1,0,0,0,0
37.888000000000005,1,0,3,75.55,190,6,1,0,0,0,2
32.5,1,0,3,146.0,245,2,1,0,0,1,2
35.7,1,0,3,148.0,367,7,2,0,0,0,2
37.4,1,0,3,12.5,190,9,0,0,1,1,2
38.99,1,0,3,0.01,150,10,0,0,0,0,2
38.99,1,0,3,18.0,190,4,1,0,0,0,2
38.99,1,0,3,0.01,150,10,0,0,0,0,2
33.82,1,0,3,101.7,286,6,1,0,0,0,0
39.5,1,0,3,11.0,150,9,1,0,1,1,2
31.5,1,0,3,92.5,435,3,0,0,1,2,2
31.499000000000002,1,0,3,121.3,333,2,0,0,0,0,0
37.999,1,0,3,149.002,272,3,1,0,0,0,2
36.5,1,0,3,53.2,272,1,0,0,1,1,2
34.6,1,0,3,59.0,190,7,1,0,0,1,0
38.9,1,0,3,107.301,272,2,1,0,0,1,0
31.9,1,0,3,13.5,150,9,0,1,1,1,2
33.49,1,0,3,144.0,340,4,1,0,0,0,0
37.9,1,0,3,22.5,150,8,1,0,0,0,0
38.9,1,0,3,14.85,150,9,0,1,1,0,2
36.59,1,0,3,11.5,150,9,0,0,1,1,2
35.848,1,0,3,62.68899999999999,300,6,0,0,0,0,2
32.4,1,0,3,6.0,150,9,0,0,1,0,2
31.884,1,0,3,10.469000000000001,150,9,1,0,0,0,2
37.4,1,0,3,76.0,354,5,0,0,1,0,2
33.999,1,0,3,195.206,218,4,1,0,0,0,2
33.33,1,0,3,27.493000000000002,150,9,1,0,0,0,0
36.5,1,0,3,61.8,367,3,0,0,1,1,2
39.9,1,0,3,18.9,150,8,0,0,1,1,2
34.95,1,0,3,67.0,163,6,1,0,0,0,2
33.499,1,0,3,44.855,190,5,1,0,0,0,0
31.9,1,0,3,15.0,150,8,0,0,1,1,2
30.63,1,0,3,56.61,190,6,0,0,0,0,1
32.68,1,0,3,19.4,150,9,1,0,0,0,2
32.5,1,0,3,11.0,150,9,0,0,1,1,2
34.89,1,0,3,16.99,300,6,0,0,0,0,2
36.5,1,0,3,10.5,170,9,2,0,1,0,2
32.43,1,0,3,10.334000000000001,150,9,0,0,0,0,2
32.33,1,0,3,17.901,150,9,0,0,0,0,2
32.889,1,0,3,7.73,150,9,1,0,0,0,2
31.999000000000002,1,0,3,57.568000000000005,190,7,0,0,0,0,0
33.33,1,0,3,19.749000000000002,150,9,1,0,0,0,0
34.0,1,0,3,167.0,326,3,1,0,1,2,2
31.39,1,0,3,22.888,150,9,1,0,0,0,0
31.8,1,0,3,8.0,190,7,0,0,0,0,2
32.79,1,0,3,97.0,190,4,1,0,0,1,0
35.999,1,0,3,146.0,218,4,1,0,0,2,0
30.999000000000002,1,0,3,74.96300000000001,163,5,1,0,0,0,0
35.65,1,0,3,132.0,252,7,0,0,0,0,2
39.948,1,0,3,65.835,367,7,2,0,0,0,2
32.68,1,0,3,19.4,150,9,1,0,0,0,2
30.55,1,0,3,22.253,150,9,1,0,0,0,0
31.748,1,0,3,55.456,150,6,0,0,0,0,2
31.0,1,0,3,9.494,150,8,0,1,1,1,2
39.333,1,0,3,70.0,190,6,1,0,1,0,2
33.764,1,0,3,3.783,150,9,1,0,0,0,2
31.999000000000002,1,0,3,98.971,190,6,1,0,0,0,0
37.9,1,0,3,15.88,150,7,0,0,0,0,0
34.99,1,0,3,8.6,150,9,0,0,0,0,2
36.999,1,0,3,20.0,230,7,0,0,0,0,2
39.2,1,0,3,15.0,190,8,0,0,1,0,2
36.999,1,0,3,30.0,230,7,0,0,1,0,2
30.933000000000003,1,0,3,5.622000000000001,116,9,1,0,0,0,2
31.910999999999998,1,0,3,24.824,150,9,1,0,0,0,2
32.169000000000004,1,0,3,6.0089999999999995,150,9,0,0,0,0,1
35.5,1,0,3,12.120999999999999,150,8,0,0,1,0,2
34.75,1,0,3,107.0,190,6,1,0,1,1,2
33.0,1,0,3,79.0,190,6,0,0,1,0,2
30.7,1,0,3,46.0,150,6,1,0,1,1,2
38.9,1,0,3,180.0,272,3,1,0,1,0,2
31.76,1,0,3,107.65299999999999,340,4,1,0,0,1,1
31.910999999999998,1,0,3,26.526,150,9,1,0,0,0,2
34.99,1,0,3,14.5,150,8,1,0,1,1,2
39.0,1,0,3,87.5,218,3,1,0,1,0,2
31.8,1,0,3,93.0,313,1,1,0,1,0,2
33.946999999999996,1,0,3,24.793000000000003,150,7,0,0,0,0,2
39.203,1,0,3,0.01,150,10,0,0,0,0,2
30.45,1,0,3,4.5,150,9,0,1,0,0,2
33.848,1,0,3,34.018,150,6,1,0,0,0,2
32.819,1,0,3,24.051,150,9,1,0,0,0,2
35.99,1,0,3,92.5,340,3,1,0,0,2,2
35.0,1,0,3,3.0,150,9,0,0,1,1,2
31.413,1,0,3,27.938000000000002,150,9,1,0,0,0,2
33.93,1,0,3,0.01,150,10,0,0,0,0,2
38.0,1,0,3,161.002,272,3,1,0,1,0,2
39.459,1,0,3,10.058,150,9,0,0,0,0,2
31.203000000000003,1,0,3,21.401,150,9,1,0,0,0,2
36.92,1,0,3,27.6,150,7,0,0,0,0,0
33.419000000000004,1,0,3,12.27,150,9,1,0,0,0,2
38.82,1,0,3,96.5,299,7,2,0,0,0,0
35.8,1,0,3,120.5,286,5,1,0,1,0,2
34.45,1,0,3,81.123,190,4,1,0,0,0,0
36.98,1,0,3,9.615,150,9,1,1,0,0,2
31.0,1,0,3,128.0,326,2,1,0,1,0,2
37.689,1,0,3,10.263,150,9,0,1,0,0,1
32.9,1,0,3,19.5,150,9,1,0,0,0,2
32.48,1,0,3,23.8,150,9,1,0,0,0,2
38.88,1,0,3,0.8,150,9,1,0,0,0,2
32.98,1,0,3,23.08,150,8,1,0,0,0,2
39.989000000000004,1,0,3,15.942,150,9,0,0,0,0,1
31.872,1,0,3,22.474,150,9,1,0,0,0,2
36.946999999999996,1,0,3,40.385,245,6,0,0,0,0,2
31.99,1,0,3,65.6,190,6,1,1,0,1,1
33.909,1,0,3,4.33,116,9,1,0,0,0,2
38.515,1,0,3,3.0260000000000002,150,9,1,0,0,0,2
38.725,1,0,3,50.103,230,6,0,0,0,1,2
32.48,1,0,3,25.0,150,9,1,0,0,0,2
33.738,1,0,3,0.01,150,10,0,1,0,0,2
32.369,1,0,3,6.2,150,9,0,0,0,0,1
32.269,1,0,3,6.33,150,9,0,0,0,0,1
35.79,1,0,3,7.7,150,8,1,0,1,1,2
39.87,1,0,3,48.72,230,6,0,0,0,0,2
31.49,1,0,3,21.145,150,9,1,0,0,0,2
