City,Brand,Body,Price[1000Eur],1000Km,Power[HP],Year,Gas,Transmission,Seller,Owners,Warranty,URL
münchen,bmw,kombi,12.699,250.0,218,2014,Diesel,Automatik,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-525-d-touring-aut-navi-prof-ahk-shz-pdc-diesel-weiss-0a6f03ac-fe56-48c7-aabe-c9d4b94ce297
münchen,bmw,kombi,14.999,164.0,190,2016,Diesel,Automatik,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-320-d-t-aut-navi-prof-kamera-totwinkel-stop-go-diesel-schwarz-64573482-8eb7-4c3d-8f1e-1bbd6ddeb523
münchen,bmw,kombi,14.800,93.0,184,2013,Diesel,Automatik,Privat,,nan,https://www.autoscout24.de/angebote/bmw-320-320d-touring-aut-diesel-braun-e46002ce-6601-43eb-a94d-1ffb726941f3
münchen,bmw,kombi,13.500,141.0,143,2014,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-318-318d-xdrive-touring-sport-line-diesel-schwarz-881c5ff1-b6b8-4205-b436-14009e099842
münchen,bmw,kombi,14.500,113.0,150,2016,Diesel,Automatik,Privat,3,nan,https://www.autoscout24.de/angebote/bmw-218-218d-active-tourer-aut-diesel-schwarz-30b2eaaa-ac5d-49f1-9c16-c21757b5de82
münchen,bmw,kombi,14.900,174.0,190,2018,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-320-d-touring-aut-diesel-silber-f40fc732-1095-4b50-aa85-e58812148f84
münchen,bmw,kombi,13.700,236.637,258,2014,Diesel,Automatik,Händler,,nan,https://www.autoscout24.de/angebote/bmw-530-d-xdrive-diesel-braun-20bb5edd-b48f-494b-96f2-f783fb826c45
münchen,bmw,kombi,14.290,185.0,218,2013,Diesel,Automatik,Händler,,Ja,https://www.autoscout24.de/angebote/bmw-525-baureihe-5-touring-525d-head-up-automatik-diesel-schwarz-42c07faf-1e74-4cd2-8f6e-861146ab3c4f
münchen,bmw,kombi,11.800,149.652,143,2013,Diesel,Schaltgetriebe,Privat,,nan,https://www.autoscout24.de/angebote/bmw-318-318d-dpf-touring-edition-sport-diesel-weiss-52d1b53f-f246-4db8-a2eb-fa2e6b0b1392
münchen,bmw,kombi,10.990,211.0,163,2014,Diesel,Automatik,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-320-d-t-navi-professional-xenon-head-up-euro-5-diesel-silber-76f99602-4df3-4114-9545-557747aecdb4
münchen,bmw,kombi,12.790,47.407,102,2017,Benzin,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-216-216i-active-tourer-benzin-weiss-ba0471d5-08fa-47fa-8ea8-6c347b496844
münchen,bmw,kombi,13.599,224.11,218,2014,Diesel,Automatik,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-325-d-touring-sport-line-sag-tempomat-xenon-navi-diesel-grau-e5c84e80-9382-4a1a-8230-8f56dc8d1490
münchen,bmw,kombi,14.900,147.5,184,2014,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-520-520d-touring-luxury-line-panoramadach-diesel-schwarz-fcb6a788-f762-4855-96f4-f64cf74e2dcc
münchen,bmw,kombi,13.900,172.7,143,2013,Diesel,Automatik,Händler,1,12 Monate,https://www.autoscout24.de/angebote/bmw-318-da-f31-sport-line-navi-xenon-shz-pdc-blth-1a-diesel-schwarz-6f420a37-8add-4daf-b12e-ce35e9ae7f2d
münchen,bmw,kombi,12.950,265.87,218,2013,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-525-d-touring-218ps-at-panoarama-ahk-leder-kamera-radi-diesel-schwarz-c05032bd-4f16-433a-8d39-e99439aea946
münchen,bmw,kombi,12.799,233.424,150,2018,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-318-d-advantage-aut-navi-shz-pdc-ahk-led-lordose-diesel-weiss-f7128c5e-3840-4c23-accd-7336e3810cd5
münchen,bmw,kombi,14.500,170.0,143,2014,Diesel,Automatik,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-318-318d-touring-aut-sport-line-diesel-weiss-6d4e8ef8-d3ff-40d7-925c-8ebea98ee080
münchen,bmw,kombi,10.880,169.89,184,2013,Diesel,Schaltgetriebe,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-320-d-touring-f31-navi-tempo-standhzg-shz-klima-diesel-schwarz-9d887bfc-bf38-437d-b9e6-17808e31c76a
münchen,bmw,kombi,12.990,214.95,143,2014,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-318-baureihe-3-touring-318d-diesel-weiss-73c22a56-870f-4304-9d18-ee603582003c
