City,Brand,Body,Price,1000Km,Power,Year,Gas,Transmission,Seller,Owners,Warranty,URL
münchen,skoda,kombi,45.800,0.01,190,2023,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-sportline-4x4-iv-2-0-tsi-dsg-sportline-m-benzin-weiss-c9e3fe9e-f39c-4c93-aab8-f7bbe46aba8b
münchen,skoda,kombi,,21.0,200,2022,Diesel,Automatik,Händler,,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-2-0-tdi-4x4-matrix-ahk-pano-diesel-schwarz-80c92967-02a8-4ffa-a01b-274fa6c06f30
münchen,skoda,kombi,48.890,0.01,200,2023,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-4x4-iv-2-0-tdi-dsg-rs-ahk-pano-matr-diesel-schwarz-6bb90f25-86ea-4699-85bd-93b461a227ba
münchen,skoda,kombi,,11.67,200,2022,Diesel,Automatik,Händler,,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tdi-dsg-rs-navi-led-diesel-rot-36615825-9690-45bd-bb2a-7b013afeaba5
münchen,skoda,kombi,48.375,0.01,200,2023,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-iv-2-0-tdi-dsg-rs-ahk-matrix-canton-diesel-schwarz-fab6a7a7-03ac-48df-a04d-6d29c2225835
münchen,skoda,kombi,49.990,0.015,200,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-2-0-tdi-sportline-4x4-dsg-diesel-grau-57431218-5d70-4c90-b33b-f051868f242d
münchen,skoda,kombi,42.900,25.3,190,2022,Benzin,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-sportline-2-0tsi-dcc-pano-led-19-benzin-weiss-27cdde36-a100-4cd9-a76c-cdfb9beda557
münchen,skoda,kombi,40.950,41.0,200,2021,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/skoda-octavia-rs-2-0-tdi-dsg-navi-ahk-standheizung-diesel-weiss-8b6c2bd8-1672-4c50-a721-e92a6e819a36
münchen,skoda,kombi,48.990,0.501,245,2023,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tsi-rs-plus-ahk-pano-standheiz-benzin-blau-e87bd091-7e14-4e46-8d73-3fc81785aa33
münchen,skoda,kombi,46.500,0.015,200,2023,Diesel,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tdi-rs-4x4-panorama-ahk-led-diesel-schwarz-d62393bd-4eb8-431b-9e68-5aa378ef2fd4
münchen,skoda,kombi,48.150,19.492,200,2021,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-plus-rs-2-0l-tdi-4x4-sthz-pdcv-h-diesel-schwarz-decd87bf-f459-4afa-9289-30c7f5f740d3
münchen,skoda,kombi,48.500,5.9,245,2022,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-plus-2-0tsi-dsg-voll-benzin-gruen-64bef65b-fdfe-4fae-9517-e85703b3ed6d
münchen,skoda,kombi,40.188,0.01,245,2023,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-tsi-245-dsg-rs-pano-matrix-nav-vic-benzin-grau-2e747e8c-12e1-424d-a8f4-ec99a896dfc4
münchen,skoda,kombi,43.990,0.501,245,2023,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-2-0-tsi-dsg-rs-combi-ahk-pano-el-heckkla-benzin-weiss-eb4bd69a-da5b-41a5-bdbb-1abf81eca533
münchen,skoda,kombi,43.450,0.15,245,2023,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tsi-dsg-rs-ahk-columbus-matrix-kamera-benzin-grau-6e8409a8-9d4b-40f1-915e-8381a727a460
münchen,skoda,kombi,41.790,26.249,190,2022,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-sportline-dsg-ahk-vorb-navi-dab-vze-led-acc-benzin-schwarz-9c012ac3-10c2-4bea-985b-6e1e2e040e22
münchen,skoda,kombi,49.990,0.501,245,2023,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tsi-rs-plus-ahk-pano-standheiz-benzin-schwarz-d6358e3d-5353-4a65-aba2-c427efcbafe9
münchen,skoda,kombi,40.450,0.501,150,2021,Diesel,Automatik,Händler,1,12 Monate,https://www.autoscout24.de/angebote/skoda-superb-combi-2-0-tdi-dsg-style-navi-dig-cockpit-acc-kam-diesel-grau-de91870d-b381-43a5-803e-4642ace51f28
münchen,skoda,kombi,41.790,19.751,190,2022,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-sportline-dsg-ahk-vorb-navi-dab-vze-led-acc-benzin-weiss-8b62a565-97a9-45b7-806f-4b3844f96688
münchen,skoda,kombi,42.960,27.0,200,2022,Diesel,Automatik,Händler,1,12 Monate,https://www.autoscout24.de/angebote/skoda-superb-combi-style-2-0l-tdi-147kw-allrad-led-navi-klima-diesel-schwarz-d7ce4343-1a9e-4d6c-bc07-548c575522d1
münchen,skoda,kombi,44.880,2.5,200,2023,Diesel,Automatik,Händler,1,12 Monate,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-2-0-tdi-147kw-dsg-navi-led-klima-navi-diesel-schwarz-5b2aac63-e4b7-43b3-a482-9e2547af4b41
münchen,skoda,kombi,46.960,20.0,200,2022,Diesel,Automatik,Händler,1,12 Monate,https://www.autoscout24.de/angebote/skoda-octavia-rs-2-0l-tdi-147kw-dsg-led-ahk-navi-klima-navi-diesel-weiss-948ec841-14eb-4a9f-be4e-9a80a35ea75d
münchen,skoda,kombi,41.960,43.0,200,2022,Diesel,Automatik,Händler,1,12 Monate,https://www.autoscout24.de/angebote/skoda-superb-kombi-2-0l-tdi-147kw-dsg-4x4-navi-led-klima-navi-diesel-grau-ff9b8bf3-9205-4714-bc54-f25e0ffce8e6
münchen,skoda,kombi,43.450,0.15,245,2023,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tsi-dsg-rs-ahk-columbus-matrix-kamera-benzin-weiss-60aa7946-c3ab-4fa1-9367-b79b4bf2c8e0
münchen,skoda,kombi,43.450,0.15,245,2023,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tsi-dsg-rs-ahk-columbus-matrix-kamera-benzin-weiss-107a7499-e28e-4b36-a4b3-1f0561825fc5
münchen,skoda,kombi,41.960,35.0,200,2022,Diesel,Automatik,Händler,1,12 Monate,https://www.autoscout24.de/angebote/skoda-superb-kombi-style-2-0l-tdi-147kw-dsg-navi-led-leder-ahk-diesel-schwarz-49d8a844-392e-4df5-8dda-936498fed0d5
münchen,skoda,kombi,48.940,12.5,200,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-ambition-2-0-tdi-dsg-4x4-lagernd-diesel-schwarz-498fd99d-93d4-4419-a4fb-7f265ff96380
